City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atasu,KZ,84.25,clear sky,48.6814,71.6433,Dostyk
2,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Atuona,PF,77.04,few clouds,-9.8,-139.0333,Villa Enata
6,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Alize Plage
8,Joshimath,IN,75.65,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
11,Rikitea,PF,75.34,scattered clouds,-23.1203,-134.9692,People ThankYou
19,High Rock,BS,77.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
20,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
25,Abha,SA,75.02,scattered clouds,18.2164,42.5053,Abha Hotel
26,Tura,IN,78.42,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
33,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
39,Honiara,SB,81.23,broken clouds,-9.4333,159.95,Heritage Park Hotel
40,Hamilton,US,78.06,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
41,Cabo San Lucas,MX,80.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
42,Butaritari,KI,82.78,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
47,Briancon,FR,79.5,clear sky,44.9,6.65,Auberge de la Paix
53,Khatanga,RU,76.44,overcast clouds,71.9667,102.5,"""Khatanga"""
54,Bengkulu,ID,79.3,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
55,Samarai,PG,79.03,broken clouds,-10.6167,150.6667,Nuli Sapi
62,Kaiserslautern,DE,81.14,clear sky,49.45,7.75,City Hotel Zimmer & Apartments
66,Sao Filipe,CV,78.17,light rain,14.8961,-24.4956,Hotel Xaguate
69,Karnobat,BG,80.44,overcast clouds,42.65,26.9833,Spa Hotel Park
80,Hilo,US,79.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
81,Barcelona,ES,87.01,few clouds,41.3888,2.159,Axel Hotel Barcelona
86,Sfantu Gheorghe,RO,81.86,scattered clouds,45.8667,25.7833,Hotel Park
87,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Cititel Penang
92,Yenotayevka,RU,77.45,few clouds,47.2456,47.0281,Hotel Voyage
96,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
103,Puerto Madero,MX,77.49,few clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
107,Mahibadhoo,MV,82.71,few clouds,3.7833,72.9667,Omadhoo Inn
108,Harda,IN,78.85,overcast clouds,22.3333,77.1,OYO 67581 Samaroh Parisar
109,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Pemangkat,ID,83.44,light rain,1.1667,108.9667,Ramah Kost KITA
124,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,Le four à pain
129,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
130,Palasbari,IN,82.45,haze,26.1361,91.5486,Manash Pratim Kalita
132,Pandharpur,IN,81.77,overcast clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
133,Tokmak,UA,81.66,overcast clouds,47.2514,35.7058,Дом приезжих
135,Bandarbeyla,SO,88.65,broken clouds,9.4942,50.8122,JABIR HOTEL
138,Hithadhoo,MV,82.31,clear sky,-0.6,73.0833,Scoop Guest House
149,Kendari,ID,79.97,broken clouds,-3.945,122.4989,Hotel Wixel
150,Karratha,AU,75.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
151,Gizo,SB,82.76,light rain,-8.103,156.8419,Imagination Island
158,Qinhuangdao,CN,84.88,overcast clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
159,Tautira,PF,77.47,moderate rain,-17.7333,-149.15,Pension Oaoa
168,Urumqi,CN,88.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
169,Florence,IT,88.79,clear sky,43.7667,11.25,Hotel Nuova Italia
172,Presidencia Roque Saenz Pena,AR,77.54,light rain,-26.7852,-60.4388,Hotel Gualok
176,Kuytun,RU,75.51,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
180,Balikpapan,ID,77.99,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
183,Lukulu,ZM,76.21,clear sky,-14.3707,23.242,Ruth Guest House
189,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Base Lodging
190,Shirvan,AZ,82.65,scattered clouds,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
191,Bethel,US,79.75,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
198,Nedumangad,IN,81.68,scattered clouds,8.6,77.0,S J Lodge
200,Jining,CN,89.28,clear sky,35.405,116.5814,Yunhe Star Hotel
206,Namatanai,PG,81.19,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
208,Key Largo,US,83.98,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
209,Winnemucca,US,78.85,clear sky,40.973,-117.7357,Winners Inn Casino
215,Waingapu,ID,80.56,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
219,Lindi,TZ,84.94,clear sky,-10.0,39.7167,Lindi paradise house
